source_record_id,outer_fold,split
9da00394a8e5d8f9ea66036a6a89912efa355fd9ba96bfa4c528435b8bef9db1,0,train
2032c66fadcb9fb24653402444d869a8a23e06dd7c522221ee5e19db135147dd,0,train
366f43b68b77ee5d9d4d649052f097811eedbdf9b66e66e3d3a40f469b388044,0,train
f816923b16d6506fc091cfe92e86e1139e2f0b3e58c593461da93f6ca5c45a5b,0,train
8726e7c2817fb8c8315b2db10843e3074a260645fbf1fccfd23450a6dfadb425,0,train
8b3e47f5ebce0eb3eab15109aa814094f34c092ee88c49f965a0c31f02e89665,0,train
51bfbad6d53b93a899767c78e04aedd5268a69726ca0fa60eebb8995190d4982,0,train
1fa27a62ee1b2d2ba6c92d8546a424dd3509710635f8a2c2568cc88597bb86fe,0,train
14caadb35d5c89647b912b53c06bdcea5896a8299a9358c8bd67f727a3feec4c,0,train
0817d574402933c00d82a89b1851b0d40647a8234618ab6b293d902531e9fea3,0,train
3ebf8a2cebdec533bb2f688970be04e9d39292494e756baaecc985483868e197,0,train
df5f1e6242f05e2e7995e736400586f8d34bd840e6cc2238daba43556f312bf7,0,train
563f081ac98d1f31498a91b83ae8a2be907cfab0de2d472d199474e4e5eb8c6a,0,train
716a01bc74c08fe1ad70772ed77afa2bc34025fce7092dab0813200de8da2e99,0,train
7df5d7c65a174992687578a093dd207e1ca89156b6eb9caf2dc28c6a498c4c69,0,train
e61c91569c6de30c3d7a1a050539ef58a6e6b2819fedd91cf751aa0b3b5dc43c,0,train
1d7362cb11b923770fcf1b9a9f01b7fa4ac11819920853a5a2909ecc1bcf6867,0,train
3d0d1c44ebc74d642e0c609d5dd4b5cfb467ae332a035c679b0c27cdd1ec168f,0,train
f791c4eed66654e399b28a4c327d7b32842e48bc7cb42c5ddf0334cb435a54fe,0,train
c346e57479e178e7b054371aa9a5f68b51e42c0e4a895346230cc32926dff8fe,0,train
3abda39dd64284c601a97a2fbab4b8034dd42e259e9b097ab0138698fe51f5fb,0,train
4f83a42c27ea668697977110e8f196526ef09e0479182cf78470ad75e79419c6,0,train
6623d48d7b4f14736e86dddd3ea44cbf28743d1a0fa21fd0bc2badc498627870,0,train
adeb2a11168a375acac8a5ba7b0b12f61ea068f42dc92905098e6e9cc109f6bd,0,train
088e125061899aeb843e08b444d414177713a8aeb3850db4477647a05e97b064,0,train
754d80adc397c4fc9bec4ce162ed868fbaba4b8aa3ab35766de0fb6def2f0ceb,0,train
ff103515b8dd75894b97d53c0362207acd3e41b19365124568cce40e99ab29d0,0,train
84eb0f805fcb924ea581aaeed6c1024f9b78a793c930404ba039a4ceae8ccc01,0,train
da11b9a824ea17d36ef8425abb47a68b80631b00f26d5fcb34bc902ab7e564d7,0,train
