outer_fold,role,record_id,id_student
0,outer_train,71a8f62a5a9f22907c4c9a6772211513fd59e46e7cde26fb15e6c72059c5ef38,28400
0,outer_train,b7a8247c134bf32fd1cedbd3208577a0752f94d5f2f61fdb4a65990afe73ab20,31604
0,outer_train,dd06b2c0f687c9480cf0cb5cf56d80a262b971a85d263c9e5d0f506784c84adf,32885
0,outer_train,72a878647f4658c64428742eef269931c988463e736a57e993c5a1dbac6613e7,45462
0,outer_train,13b6ad62990b47b74f8ca514052fa60225b78a979791a24d221ec25bba8bf015,45642
0,outer_train,836ebaf13d8083f8d978adb3b46be00834fb08211255d5e94adb6de1c0398050,52130
0,outer_train,3c001250fc46a5b6b0aa8d4ffe9413b203291a220d73654b503fae2d84434350,53025
0,outer_train,7bba46cf5933f0e6d4bd0ea363ce6819745a55140c3c318bb2077d4d6799349e,57506
0,outer_train,9bdb21e8ed497fa6497289fd143c8a9bf1ef300fb43fae40c10c9f660adee90b,58873
0,outer_train,77b795384475e0d870ab89f6ebde264e20121c80a6d7e21e425f113c2425d63a,59185
0,outer_train,dd26f86e996fe9315250db64f56cfe7f269c339f76379bae789ac06366713f73,62155
0,outer_train,1247ccb61cb3e503f79c3b55284bb30938c44252cd2184e67002a97cdfb6e823,63400
0,outer_train,50c6c5a20fedacab9873690944a977305be46f1a7f67d254faa1d0adde782fba,75091
0,outer_train,8c922b927566134effd66798acc480dc174f60704cc3710089ce43b0130e4efd,77367
0,outer_train,b09f383cc96908111c2adeacc322317e9db6886feb5c18b344f8590887c181da,91265
0,outer_train,1fc1125976d17f883a4b617f5df86d4812a2861192c93426bc6ca076e110c7c0,98094
0,outer_train,69cf66a829d2f87ca9fb19081bf901f415964955f069a0f86a67e70c7fab4e1f,100893
0,outer_train,214b2ed7957a05d0bf58a16b5f2177b741ade019e048a5bb98b9b18d302c72f3,102952
0,outer_train,d4b2825172db51c899a27377deb0afc5ea583ca69c8a85c0ef83e68a7ee95e30,104476
0,outer_train,4c8fd20819daf58aa3618c171dc6ecd21cbaa678c6589327d7de972a80185a13,114017
0,outer_train,b53014909c88c37eb9e430cbcd20d83599de1707b173a70091f0806c45fcdea3,116541
0,outer_train,0f94d67e432cd4bee0e6e42919a4fcad944060c98bd8a55297a8c736fd6279d2,118983
0,outer_train,20fcc7d28611a0e313cc6da094e5bcf76091faad0557707dfa16355fad6cc097,132976
0,outer_train,695186d695150bab944dc4b0d58fdf790d904f0dead3e965a8987f325486ce35,141355
