student_key,course_key,stage,fold,baseline_risk,decision_threshold,status,top_action_id,top_counterfactual_risk,top_risk_reduction,top_utility_score,selected_action_count,selected_workload_minutes,reference_profile_id,fallback_reasons,threshold_crossed
0065b43b2c87b834abf8178a47f233bdc52fa887bcfcf4f67c9fa30df74cc6d8,AAA-2013J,EARLY_35,2,0.20260676741600037,0.44265249371528625,COUNTERFACTUAL_SCORED,VLE_ENGAGEMENT,0.11659461259841919,0.08601215481758118,0.009388705303288758,3,140,oulad_ref_61ee05ca5a3b189bcc6cd891,[],False
010859fc20d9658fcbb79d346c413076c413b9678c46173c0fd24720e07ff778,BBB-2013B,EARLY_35,2,0.11956485360860825,0.44265249371528625,COUNTERFACTUAL_SCORED,STUDY_SCHEDULE,0.10516295582056046,0.01440189778804779,0.004530752938576702,3,140,oulad_ref_9088be17914dcb2d92a1c7b7,[],False
012c48383609a5492f53ba6233dbb0565f71ac1e5d16312422bb9091bcc2ad5d,BBB-2013J,EARLY_35,2,0.9433704614639282,0.44265249371528625,COUNTERFACTUAL_SCORED,STUDY_SCHEDULE,0.7444866299629211,0.19888383150100708,0.023879292088789264,4,165,oulad_ref_c083827c20601e16c841fbde,[],False
001dd8cbfb1d5a2fbfd26d8f3a7dca5386338a58649d7a32a9b158e0e3bb1dd2,BBB-2014B,EARLY_35,2,0.1401904970407486,0.44265249371528625,POLICY_FALLBACK,,,,,2,110,oulad_ref_c60a2669aef79d3e1b0e6b3b,['NO_ACTION_MET_MINIMUM_RISK_REDUCTION'],False
001a7da654e9c56b3f151683d184b2cf365522dbd5ff8f12c084f76e91a7eb84,CCC-2014B,EARLY_35,2,0.35647884011268616,0.44265249371528625,COUNTERFACTUAL_SCORED,STUDY_SCHEDULE,0.29313090443611145,0.06334793567657471,0.0025456807382904308,3,140,oulad_ref_e0e8577b033e45366fc0121d,[],False
014d3394dd280977e7a6e8a42f02ca9c7f117e50b3bf0f3a00386cc04f29ac3d,DDD-2013B,EARLY_35,2,0.9831855893135071,0.44265249371528625,COUNTERFACTUAL_SCORED,STUDY_SCHEDULE,0.9025699496269226,0.08061563968658447,0.028978866581919806,4,180,oulad_ref_8cbca28e3457f224ebe6696d,[],False
003c9f727111a0777100153dcbaf69e2b29c1e625f8d53e6ec2a129ca6aef1fa,DDD-2013J,EARLY_35,2,0.4498581886291504,0.44265249371528625,POLICY_FALLBACK,,,,,0,0,,['POLICY_ABSTAINED'],False
00ca1c84119906a6939947a247b28a138283602cd750d7248e938dcfe7faad86,DDD-2014B,EARLY_35,2,0.43601030111312866,0.44265249371528625,POLICY_FALLBACK,,,,,0,0,,['POLICY_ABSTAINED'],False
01fd1b49017921f9f8ad3296e81f00c936f98cf3d2a2b45d5750e6d9eba1d4ba,EEE-2013J,EARLY_35,2,0.10278640687465668,0.44265249371528625,COUNTERFACTUAL_SCORED,VLE_ENGAGEMENT,0.08979305624961853,0.012993350625038147,0.0027142246685876027,3,140,oulad_ref_659993c40df4af714037eea5,[],False
002fdcacdc11057f1d3c9801b4fff6d8b82a290302fa89e57a558b9ce444fe3e,EEE-2014B,EARLY_35,2,0.4771055579185486,0.44265249371528625,POLICY_FALLBACK,,,,,0,0,,['POLICY_ABSTAINED'],False
