component,H0_value,H1_value,same,scientific_importance,suspected_impact,evidence_source
architecture_id,C_TEMPORAL_MULTITASK_W0,H1_TABULAR_RESIDUAL_EXPERT,False,HIGH,different complete model recipes,profiles:model
parameter_count,100938,160492,False,LOW,capacity alone does not explain direction,checkpoint metadata; Phase7 freeze
temporal_topology,"{""aggregate_hidden"": 64, ""bidirectional"": true, ""bilstm_hidden"": 64, ""bilstm_layers"": 1, ""conv_channels"": 24, ""dilation"": 2, ""family"": ""CNN-BiLSTM"", ""fusion"": ""scalar_gated_residual"", ""fusion_hidden"": 64, ""heads"": [""risk"", ""survival"", ""outcome""], ""input_projection"": 48, ""kernels"": [2, 3], ""pooling"": ""masked_mean_max"", ""pooling_projection"": 48, ""residual"": true, ""static_hidden"": 32}","{""aggregate_hidden"": 64, ""auxiliary_heads"": [""survival"", ""outcome""], ""branch_dropout"": 0.1, ""conv_channels"": 32, ""dilation"": 1, ""fusion"": ""scalar_gated_residual"", ""fusion_hidden"": 64, ""heads"": [""risk"", ""survival"", ""outcome""], ""input_projection"": 48, ""kernels"": [2, 3, 5], ""lstm_hidden"": 64, ""lstm_layers"": 1, ""model_class"": ""src.models.oulad_multitask.CNNBiLSTMOULAD"", ""pooling"": ""masked_mean_max"", ""pooling_projection"": 64, ""residual"": true, ""sequence_channels"": 47, ""static_hidden"": 32, ""tabular_residual_expert"": {""alpha"": ""bounded_sigmoid_learnable"", ""hidden"": [48, 32], ""initial_alpha"": 0.05, ""input"": ""aggregate_165_plus_static_13"", ""output"": ""risk_residual_logit""}}",False,HIGH,kernels/channels/dilation/pooling projection differ,V6 source; H1 registry
temporal_feature_names,47,47,True,LOW,names/count match but score semantics differ,feature profiles
score_availability,"Scores are treated as available at max(date_submitted, assessment_due_date), with both dates before cutoff.",Score values excluded because OULAD has no score-release timestamp; score_missing_mask is always unavailable.,False,HIGH,H0 carries direct assessment-progress signal; H1 does not,historical materializer; current stage builder
aggregate_schema,49 compact,165 full/context,False,HIGH,different representation and score content,historical/current data builders
static_schema,"[""code_module"", ""presentation_season"", ""num_of_prev_attempts"", ""studied_credits"", ""registration_lead_time"", ""module_presentation_length""]","[""code_module"", ""presentation_season"", ""num_of_prev_attempts"", ""studied_credits"", ""registration_lead_time"", ""module_presentation_length""]",True,LOW,same raw fields and runtime width,profiles:features
sequence_preprocessing,masked train mean/std; padding excluded; zero after scale,raw stage-safe values; model input projection + LayerNorm,False,MEDIUM,external train normalization versus internal LayerNorm only,historical/current preprocessors
aggregate_preprocessing,median imputation then StandardScaler,train nanmean/nanstd; nan_to_num after scaling,False,MEDIUM,different missing-value and scaling policy,historical/current preprocessors
target,"{""negative"": [""Pass"", ""Distinction""], ""positive"": [""Withdrawn"", ""Fail""]}","{""negative"": [""Pass"", ""Distinction""], ""positive"": [""Withdrawn"", ""Fail""]}",True,HIGH,identical; cleared as root cause,aligned stored predictions
eligible_population,15378,15378,True,HIGH,exact record identity; cleared as root cause,aligned stored predictions
outer_folds,"{""0"": 5120, ""1"": 5109, ""2"": 5149}","{""0"": 5120, ""1"": 5109, ""2"": 5149}",True,HIGH,exact fold identity; cleared as root cause,aligned stored predictions
inner_folds,3,2,False,MEDIUM,changes selection stability and training evidence,V6 protocol; Phase7 freeze
pretraining,"{""checkpoint_hashes"": [""1ffaebb65a3fb8bf14e59f06d8a1dc872be7ea1a286fcfda3c77a7ac8ff9ae5c"", ""39dbf95bcb6dd8a5012cd12f86d64adfe0ceffe1cb323d79a40af1d2b086d77e"", ""4fa26e996c0fa4fc346f0f39681a39e8de9bb505a69e241d404f0fd92e12210b"", ""5823147edaf3643c47d5a6c10c6a73e5fe274cb98342b3c92e1698e2c2af58f9"", ""688cf34a654f9fde3ed276bad8f6c787698fa37e4564537cb9a16908f51a449a"", ""8065d06368fd837c97f1d733e402edc8edc69ca0d8b7dbcf752aa07ab4d1ba7c"", ""966b2886dfad0a9febb66dacbfa4db74027cb6381d66aeea5f5aca11a4e5ab0d"", ""a9668366d66a52eb0fecb3215fdc64b9de96d4c314a5fffcf80cd0f5b8e5821e"", ""c3f151b6750a10d94748c3a3a1f1166bdd8e6f6814f050f6e1a7e4f0feda7c87"", ""cc8d9f7800647333a5a4595b0e8d266af9a2f38d42d51d7290a15e9a36d5d606"", ""d4709f6dbb96062445fb855239fd6873f7986b900d60b3b0a37c052e0b5dbf46"", ""d48d8dcf95e8bdf51ab8572d0fd9f032f1d8b6ce37237622ee6a173330e92ea9"", ""e410e6e7532ba922248c603c6506772fc9d1903482cb67ee905a253768899cfc"", ""e96492fc4c97377a953d71c76547bd9f4b206d45f783cb916e9f70587df13621"", ""e9d2da4d3409a3556fd87c19b2cf4c3409e76f7792e95c61cf9633fa7d5301d4""], ""checkpoint_provenance"": ""15 distinct pretraining checkpoint hashes"", ""epochs"": 5, ""gate_inner_macro_f1_gain"": 0.0019109047000002155, ""gate_inner_pr_auc_gain"": 0.0022831749666667456, ""id"": ""P1_MASKED_AND_NEXT_WEEK"", ""scope"": ""each outer-training partition only"", ""tasks"": [""masked_activity_band"", ""masked_active_state"", ""masked_submission_band"", ""masked_score_availability"", ""masked_inactivity_transition"", ""next_active_state"", ""next_activity_direction"", ""next_submission_band"", ""next_inactivity_transition"", ""next_score_state_transition""]}","{""executed"": false, ""requested"": false}",False,MEDIUM,confirmed difference; historical controlled gain was small,V6 pretraining gate; Phase7 freeze
