query_id,student_key,stage,action_id,rank,score,eligible_flag,feasibility_reason,evaluation_path,runtime_path,runtime_any_eligible,eligibility_mismatch,eligible_action_count_stored,root_cause
383723::AAA::2014J::LATE_75,383723,LATE_75,STUDY_REGULARITY,1,0.09976607254613022,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
2364471::AAA::2013J::EARLY_35,2364471,EARLY_35,STUDY_REGULARITY,1,0.07126758732821314,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
588775::AAA::2013J::MIDDLE_50,588775,MIDDLE_50,STUDY_REGULARITY,1,0.176235781279248,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
588477::AAA::2014J::EARLY_35,588477,EARLY_35,STUDY_REGULARITY,1,0.11639149312128562,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
383723::AAA::2014J::MIDDLE_50,383723,MIDDLE_50,STUDY_REGULARITY,1,0.12006374100409332,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
760729::AAA::2013J::LATE_75,760729,LATE_75,STUDY_REGULARITY,1,0.23509706563629357,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
258894::AAA::2013J::MIDDLE_50,258894,MIDDLE_50,STUDY_REGULARITY,1,0.1598847617871374,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
70011::AAA::2014J::LATE_75,70011,LATE_75,STUDY_REGULARITY,1,0.16472216561976155,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
2557283::AAA::2013J::LATE_75,2557283,LATE_75,STUDY_REGULARITY,1,0.10839899836624146,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
1847830::AAA::2013J::LATE_75,1847830,LATE_75,STUDY_REGULARITY,1,0.25709520511460837,False,INELIGIBLE_HIGH_REGULARITY,evaluate_grouped_ranking_unfiltered_all_actions,feasible_actions_then_rank_eligible_only,False,False,0,A. EVALUATOR_SCOPE_BUG
