case_id,dataset,student_id,record_id,stage,outer_fold,risk_probability,risk_band,prediction_source_version,prediction_seed_count,risk_band_source,recommendation_eligible,module,presentation,enrollment_identity,inactive_streak,active_days_ratio,recent_activity,activity_trend,assessment_completion,missing_assessments,course_progress,quiz_activity,vle_available,source_feature_version,sampling_risk_band,_27,panel
c5836508d4e332a781309217e3a8f8d9,oulad,559672,aa16ec03c15dc58fce406e65,20pct,0,0.4876554807027181,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,DDD,2013B,aa16ec03c15dc58fce406e65,0.0,0.375,3.526360511779785,-0.21550454199314117,1.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Borderline,7005080591739435,Panel B
f5ea21100260a4cda7637758b3e345dc,oulad,586047,2b3366b845fde073f470cae3,20pct,0,0.3470701376597087,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,CCC,2014J,2b3366b845fde073f470cae3,1.0,0.2075471729040146,0.0,-0.5396755933761597,1.0,0.0,0.20000000298023224,226.0,True,phase7.oulad.cutoff_safe.v1,Borderline,10749425096080545,Panel B
c8895b5c392913ec806b58a73d61ffcc,oulad,388722,e9f6f8eb80a8a695fddca97e,20pct,0,0.48813509941101074,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,AAA,2013J,e9f6f8eb80a8a695fddca97e,0.0,0.30188679695129395,3.25809645652771,-0.20183292031288147,1.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Borderline,29156673320714163,Panel B
5f275d2e0927c4ca94c64be1e85a6e31,oulad,482356,778bbeea5e5666bcebd65186,20pct,0,0.4667235016822815,medium,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2013J,778bbeea5e5666bcebd65186,0.0,0.2830188572406769,2.890371799468994,-0.12322451174259186,1.0,0.0,0.20000000298023224,17.0,True,phase7.oulad.cutoff_safe.v1,Borderline,29920496485612316,Panel B
73258943c2b26ff9f33e195d10ebf103,oulad,620498,9c0656110a23c698e1f91034,20pct,0,0.8706408341725668,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2014B,9c0656110a23c698e1f91034,2.0,0.2291666716337204,0.0,-0.8622905611991882,1.0,0.0,0.20000000298023224,10.0,True,phase7.oulad.cutoff_safe.v1,High,8122052644912025,Panel B
97bcc603389f3cee2acb9db65f393b04,oulad,380138,b301202a3cf900150a43587e,20pct,0,0.8182223439216614,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,DDD,2013J,b301202a3cf900150a43587e,2.0,0.13461539149284363,0.0,-0.26940059661865234,1.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,High,27368546432950317,Panel B
bfb2f383b5aa6908d150ffd293b2b907,oulad,113824,111c8c94a340c30a4140caf6,20pct,0,0.8248498241106669,high,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,EEE,2013J,111c8c94a340c30a4140caf6,2.0,0.30188679695129395,0.0,-0.512610912322998,1.0,0.0,0.20000000298023224,99.0,True,phase7.oulad.cutoff_safe.v1,High,63516616734051907,Panel B
125de67d1ae487b953461ef75b0b1f4a,oulad,548924,b2dc9ec20722a029bb0f1b1f,20pct,0,0.2466014822324117,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,BBB,2013B,b2dc9ec20722a029bb0f1b1f,0.0,0.2708333432674408,3.7376697063446045,0.17934295535087585,1.0,0.0,0.20000000298023224,28.0,True,phase7.oulad.cutoff_safe.v1,Low,595360755605810,Panel B
9c1bcf99d1d049157b9af551c0ff6503,oulad,544880,3932520fe73c926a95a63d2f,20pct,0,0.3045774847269058,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,FFF,2013B,3932520fe73c926a95a63d2f,0.0,0.4791666567325592,5.700443744659424,0.15881693363189697,1.0,0.0,0.20000000298023224,167.0,True,phase7.oulad.cutoff_safe.v1,Low,2000984686045028,Panel B
ac3b60d899049ac6036ee0dcb1b8fd37,oulad,625835,742fa6a8abb90a4a1fb76a1c,20pct,0,0.29398637016614276,low,artifacts/prediction/final/predictions/predictions.parquet#sha256=bd3ea11558fce882ae4371af1d6421b2a86f6adaf2ff57254c14b8ec54fca768,3,operational_config_not_prediction_threshold,True,GGG,2014J,742fa6a8abb90a4a1fb76a1c,2.0,0.2199999988079071,0.0,-0.5104023218154907,0.0,0.0,0.20000000298023224,0.0,True,phase7.oulad.cutoff_safe.v1,Low,7782211206659530,Panel B
