id,file,title,chapter,source_data,script,caption_vi,status,authenticity_note
FIG-PRED-01,fig_01_prediction_metrics.png,Kết quả dự đoán final,Chương 4,reports/final/FINAL_PROJECT_STATUS.md,report_context/figures/create_verified_figures.py,"So sánh Macro F1, Recall Low và F1 Low của các mô hình dự đoán final theo dataset/scenario.",VERIFIED_DATA_BACKED,"Số liệu lấy trực tiếp từ bảng final status; student rows chỉ có bằng chứng summary final, không có CSV per-run riêng."
FIG-PRED-02,fig_02_xapi_baseline_comparison.png,xAPI deep vs baseline,Chương 4,reports/final/final_baseline_comparison.csv,report_context/figures/create_verified_figures.py,So sánh Macro F1 giữa mô hình deep xAPI final và RandomForestClassifier baseline.,VERIFIED_DATA_BACKED,"Baseline chỉ là đối chứng, không dùng làm teacher/distillation/pseudo-label."
FIG-PRED-03,fig_03_low_class_focus.png,Metric lớp Low,Chương 4,reports/final/FINAL_PROJECT_STATUS.md,report_context/figures/create_verified_figures.py,Recall Low và F1 Low cho thấy năng lực phát hiện nhóm sinh viên có nguy cơ kết quả thấp.,VERIFIED_DATA_BACKED,Không diễn giải Recall Low riêng lẻ là bằng chứng mô hình tốt nhất.
FIG-PRED-04,fig_04_macro_f1_ranking.png,Xếp hạng Macro F1,Chương 4,reports/final/FINAL_PROJECT_STATUS.md,report_context/figures/create_verified_figures.py,Xếp hạng các cấu hình final theo Macro F1.,VERIFIED_DATA_BACKED,"Dùng để mô tả thứ tự hiệu quả, không khẳng định deep model thắng baseline ở mọi dataset."
FIG-REC-01,fig_05_recommender_offline_metrics.png,RA-HLPR offline metrics,Chương 5,outputs/recommender/xapi/recommender_metrics.json; outputs/recommender/student-por/recommender_metrics.json,report_context/figures/create_verified_figures.py,Tổng hợp các chỉ số đánh giá offline của RA-HLPR trên xAPI và student-por.,VERIFIED_DATA_BACKED,"Reference là weak-supervision/rule-based, không phải phản hồi người dùng thật."
FIG-REC-02,fig_06_risk_diagnosis_metrics.png,Risk diagnosis,Chương 5,outputs/recommender/xapi/recommender_metrics.json; outputs/recommender/student-por/recommender_metrics.json,report_context/figures/create_verified_figures.py,Risk Macro F1 và Risk Micro F1 của đầu chẩn đoán rủi ro.,VERIFIED_DATA_BACKED,Metric đo fidelity với weak labels tạo từ rule quan sát được.
FIG-REC-03,fig_07_ranking_metrics.png,Ranking metrics,Chương 5,outputs/recommender/xapi/recommender_metrics.json; outputs/recommender/student-por/recommender_metrics.json,report_context/figures/create_verified_figures.py,"Precision@3, Recall@3, NDCG@3 và Coverage@3 của bước xếp hạng can thiệp.",VERIFIED_DATA_BACKED,Đánh giá offline theo catalog mapping/risk reference.
FIG-REC-04,fig_08_path_quality_metrics.png,Path quality,Chương 5,outputs/recommender/xapi/recommender_metrics.json; outputs/recommender/student-por/recommender_metrics.json,report_context/figures/create_verified_figures.py,"Các chỉ số bao phủ rủi ro, tiến triển độ khó và vi phạm prerequisite của lộ trình 4 tuần.",VERIFIED_DATA_BACKED,Không đo tác động học tập thực tế sau can thiệp.
FIG-SYS-01,fig_09_pipeline_overview.png,Pipeline overview,Chương 3,src/data_pipeline.py; src/models/models.py; src/models_v27.py; scripts/run_recommender_pipeline.py,report_context/figures/create_verified_figures.py,"Pipeline hệ thống từ dữ liệu thô đến dự đoán, chẩn đoán rủi ro, xếp hạng can thiệp và báo cáo.",VERIFIED_CODE_BACKED,Sơ đồ cấu trúc dựa trên source code; không biểu diễn metric mới.
FIG-REC-05,fig_10_ra_hlpr_flow.png,RA-HLPR flow,Chương 5,scripts/run_recommender_pipeline.py; src/recommender/risk_rules.py; src/recommender/risk_head.py; src/recommender/candidate_generator.py; src/recommender/hybrid_scorer.py; src/recommender/path_planner.py,report_context/figures/create_verified_figures.py,Luồng RA-HLPR dùng xác suất dự đoán và rủi ro quan sát được để tạo lộ trình học tập 4 tuần.,VERIFIED_CODE_BACKED,Sơ đồ không mô tả collaborative filtering; repo không có user-item feedback.
