recommendation_instance_id,goal_id,goal_type,title,description,baseline,target,measurement_method,start_date,target_date,priority,status,evidence_codes,policy_version
d8644aea7fcc180a383d1738,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'low_predicted_achievement']",strategy_b_governed_learning_path_v1
bd254bea588e56b3cf978b2d,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_downward', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
6b85bd049ec136af69f33821,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
ccdb397908bdcff552e1ae3e,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
6950eae49a1bff0873a81ccd,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
d7f2fc9c4d61f2b584223338,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
4ed040f46b6bb617a5c63928,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_downward', 'low_predicted_achievement']",strategy_b_governed_learning_path_v1
f4ec69205cd03474a20ae849,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
0846b14ed9ecea61327b70e9,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
4c4f1ba38bd24315b761c808,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
49aeb9cf9a48383c2ac7d059,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
a3e6009a859834ee57b0b4ec,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
7422aa164edcac2ba589e108,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'low_predicted_achievement']",strategy_b_governed_learning_path_v1
bda34be5675c2f248331a8d4,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_downward', 'low_predicted_achievement']",strategy_b_governed_learning_path_v1
a1e01dc51aa189cda598f6aa,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'low_predicted_achievement']",strategy_b_governed_learning_path_v1
dd66b9a9850c3d7fd84fe4e8,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
33d81bc79f0342eaec01b031,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
dcf35568d8e7847dbe41ebd7,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
5fd37de84ede35d924b9288b,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
d2ce9f55b9721c136ddd4ac9,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_downward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
7592d121a271ec6c60ff5ed4,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'low_predicted_achievement']",strategy_b_governed_learning_path_v1
b0871af43d66a8a088b94f4b,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_stable', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
35467b8b5f8ecea609159429,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
64e287ac5e7190e07de88135,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_upward', 'medium_predicted_achievement']",strategy_b_governed_learning_path_v1
63f6fc123d86b5d7b65c693b,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_downward', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
21fac501529502635c7a26bc,goal_week4_progress,learning_path,Complete the advisor-confirmed four-week learning path,Complete at least 80% of scheduled learning-path actions over four weeks.,completion_not_started,at_least_80_percent_action_completion,follow_up_completion_records,advisor_to_set,four_weeks_after_advisor_approval,1,draft,"['trajectory_downward', 'high_predicted_achievement']",strategy_b_governed_learning_path_v1
