case_id,predicted_class_name,agreement,uncertainty_band,trajectory,evidence_availability,stratum,review_packet,recommendation_instance_id
00906b547135d6d24ab9aa12,High,agree,low_or_medium,upward,sufficient,High|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
101e27db79279ddbc9d1de15,Low,agree,high,stable,sufficient,Low|agree|high|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
21b874aa35972c90ba1cd9fc,High,agree,low_or_medium,stable,sufficient,High|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
2a801e733cd92bb177cecc8f,High,disagree,low_or_medium,downward,sufficient,High|disagree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
33d81bc79f0342eaec01b031,Medium,disagree,high,upward,sufficient,Medium|disagree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
34774f53a239ee46567e2b31,High,disagree,high,downward,sufficient,High|disagree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
389f9f4cf14c44ada9c4f30d,High,disagree,low_or_medium,downward,sufficient,High|disagree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
3feed1d8533ff357717deea6,High,disagree,high,downward,sufficient,High|disagree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
425a5171c7ea74956d8edf65,High,agree,low_or_medium,downward,sufficient,High|agree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
438733a851ab7514da0249ec,High,agree,low_or_medium,stable,sufficient,High|agree|low_or_medium|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
47a731ee8e05bcacae0012c4,Low,agree,high,downward,sufficient,Low|agree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
49aeb9cf9a48383c2ac7d059,Medium,agree,high,stable,sufficient,Medium|agree|high|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
522b5c263983a7925d088d48,Low,agree,low_or_medium,upward,sufficient,Low|agree|low_or_medium|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
531741ef9bcd7eb07bc229cf,High,disagree,low_or_medium,downward,sufficient,High|disagree|low_or_medium|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
584ba767f903da37593391b8,Low,agree,high,downward,sufficient,Low|agree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
6686d55e43444de5fc27e5fa,Low,agree,high,stable,sufficient,Low|agree|high|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
6b85bd049ec136af69f33821,Medium,agree,high,upward,sufficient,Medium|agree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
7422aa164edcac2ba589e108,Low,disagree,high,upward,sufficient,Low|disagree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
754b74b1c072f2a1e9684f7a,Medium,disagree,high,downward,sufficient,Medium|disagree|high|downward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
7a761044c818a502a04db895,High,agree,high,upward,sufficient,High|agree|high|upward|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
821f19e4dde5166d5bd189d0,Medium,agree,high,stable,sufficient,Medium|agree|high|stable|sufficient,Blinded technical recommendation draft; no true outcome is supplied.,
