student_key,course_key,stage,action_id,behavior_aligned,next_stage_risk,favorable_final_outcome
000893cbd46c6a972f5c248a0c2d39fe1f4a3ca9a31b88dcc983d60ea7e52de4,BBB-2014B,EARLY_20,STUDY_SCHEDULE,False,0.995596444606781,False
00edcca33817585aa843dc466c67fcc7c261a10405865eaaf898ba855d8976af,CCC-2014B,EARLY_20,VLE_ENGAGEMENT,True,0.6062564015388489,False
000ad766a8822430d4ad67cd5ff961658c3b6eb97ca39234bacb96dd7ef8737c,DDD-2013B,EARLY_20,STUDY_SCHEDULE,False,0.8896990299224854,False
005c679982adf18290cacbda4f5beb750d95351c6d78ff8b38970c174197b9b6,DDD-2013J,EARLY_20,STUDY_SCHEDULE,False,0.6093888640403747,True
0038321eecb17e3b9f59b3158a0af3a1862b289f06e7fd0cddc067d9a19cabff,DDD-2014B,EARLY_20,STUDY_SCHEDULE,False,0.9966233372688293,False
0117f0ab12e819e098c4fb48a6d49b11dc968039e9fc4dff590122dc6e1583ea,EEE-2013J,EARLY_20,VLE_ENGAGEMENT,False,0.1322433426976204,True
004f3aa59cff1fcb1117bb8a1d6a430e73bbda39c46bc0e5a43708cdd9b02bef,FFF-2013J,EARLY_20,STUDY_SCHEDULE,False,0.99476078748703,False
004539ce8f60d0767a8678b7f3baf9c833744bdb66cf50e10e743f48e544b89a,FFF-2014B,EARLY_20,STUDY_SCHEDULE,False,0.9304050207138062,False
003bd3ac1bb6c91c5cf00e7f4de49f6959c687fc1d8cbda73b514b87ca0d916a,GGG-2013J,EARLY_20,STUDY_SCHEDULE,False,0.3659825921058655,False
0311157d0bc5909d756e5ca961120e773e82c3505b5133b798a09d3c4ec261a8,GGG-2014B,EARLY_20,VLE_ENGAGEMENT,False,0.19913457930088044,True
0054cf7a59d83f85a264fb7c0b84894b4e91f66e19da59842a6420afed5619ba,BBB-2014B,EARLY_20,STUDY_SCHEDULE,False,0.9541342616081238,False
015689bd5403d6420044ee88649e495cd3e884357eeca57d86b871c38bb9597b,CCC-2014B,EARLY_20,VLE_ENGAGEMENT,False,0.09971347600221633,True
00b5052a771863a13a5aa2a2c365e9917b9dfd3a6ac48f19773cced4d88fe225,DDD-2013B,EARLY_20,STUDY_SCHEDULE,False,0.3566687345504761,True
03a80ad34d69b0ac757a9d4ff8697501946d89a64499b43ece8d87e1fc205cb9,EEE-2014B,EARLY_20,STUDY_SCHEDULE,False,0.996790075302124,False
01266888b6e15d2a477b647d12b11d2cec5f9785a8b080466db34791f105135b,FFF-2013B,EARLY_20,STUDY_SCHEDULE,False,0.47895524501800535,True
00d45120356ee502f6ceb627fe8a42e6054b967e04da910097783680f7eaf9f3,FFF-2014B,EARLY_20,STUDY_SCHEDULE,False,0.9975119352340698,False
005e3abecbbc87cab99aa1d1a30cc0a360efea0119ce95e1c9755549eaf140d1,GGG-2013J,EARLY_20,STUDY_SCHEDULE,False,0.21653207242488862,True
0191cd16b51744a0aa77f2755172febfd137019da3edaa63f2ab29ef18f170f0,BBB-2013J,EARLY_20,STUDY_SCHEDULE,False,0.9914189338684082,False
011fdab340ac969b7a2a7454e3a0c9d50e9d92fe66d5ab6fae3f47542e452de6,DDD-2013B,EARLY_20,VLE_ENGAGEMENT,False,0.2747525632381439,True
00a81dce1e844524f7d91366ebc3ae049bd2d7df8761d4e076cfee9cf1e32d3e,DDD-2013J,EARLY_20,VLE_ENGAGEMENT,False,0.45799167156219484,True
0550fbb983ade6a527a823b25f93c36383cbd181407e7e0e84557d507f148331,DDD-2014B,EARLY_20,STUDY_SCHEDULE,True,0.6203491568565369,False
011ef6b0753c5d6803c465b612c440eff3cb4e964cd3a4244c2afd2970a017fd,FFF-2014B,EARLY_20,STUDY_SCHEDULE,False,0.7298257350921631,False
083a9323745c85af34ef430ee0fe27ee1a7c1a76f0d562ef811be826a284ccfb,GGG-2014B,EARLY_20,STUDY_SCHEDULE,False,0.16468395441770553,True
06b1f1f06bd394bbb6de720541964555300da018b84fff8e48df16203e0246ec,AAA-2013J,EARLY_20,VLE_ENGAGEMENT,False,0.3987968862056732,True
0158f61f292f02fa070a3845b9bf55c5e2de82e001b4883b83440934e0953d7a,BBB-2013B,EARLY_20,VLE_ENGAGEMENT,True,0.1028830274939537,False
02126b89e423cc28c22f906c3f86305da7feace0aa3ae7e83a3c67d5f924efbf,BBB-2014B,EARLY_20,VLE_ENGAGEMENT,True,0.10689715445041656,True
020016f52b2bfa3b21f65c493c9e9c28b0e6815d78584d0decfa7985760e4229,CCC-2014B,EARLY_20,VLE_ENGAGEMENT,False,0.7874794721603393,True
024c2c65ad6ebd65e433e2b7a87cb4987242f90e1a3290d4186bb8b5742e9488,DDD-2013B,EARLY_20,STUDY_SCHEDULE,True,0.8056486248970032,False
01b742d5f53ab3e67adfc668917294835ec2b4a52c52825a070c594063e12b41,DDD-2013J,EARLY_20,STUDY_SCHEDULE,False,0.6363088011741638,True
027331f956e8af85b74b64547d168715d37953f0ac6c0e2cd452e6fce525b26f,EEE-2013J,EARLY_20,STUDY_SCHEDULE,False,0.3133472174406052,True
05d0e729c461b25b687a8d3123194250df0fa73e48ab8af2a70ff9d3c4006866,EEE-2014B,EARLY_20,STUDY_SCHEDULE,False,0.9952755212783814,False
011d7818b9b50aadb3186db8d3f87add684a0f3e02e3b160d687661fec66b6b1,FFF-2013J,EARLY_20,VLE_ENGAGEMENT,False,0.10373328924179077,True
0209de20eec46151f0ca87c708dadf664f18e9a585d1ac4d8f8884098e1be1e0,FFF-2014B,EARLY_20,VLE_ENGAGEMENT,False,0.12066438794136047,True
083c7de2163c94a9c9ec345e2dbf6dad96b71d41c8c55abe3d04a03ac3df6397,GGG-2014B,EARLY_20,STUDY_SCHEDULE,True,0.26894700825214385,True
021bdfe7f1c4c9158f44d0813158de1faa86f2d4007ee644008352e52fecd7ba,BBB-2013B,EARLY_20,VLE_ENGAGEMENT,False,0.1899356335401535,True
0305c6fe66abf8362cb401125c686eb3e045b14bce0b211930bc8f98b1a871de,DDD-2013B,EARLY_20,STUDY_SCHEDULE,False,0.9506090879440308,False
031fdf64c1fd83989d664f3334a6d32314b8fd4558d56dda61a695d2e32f45be,DDD-2013J,EARLY_20,STUDY_SCHEDULE,False,0.9949577450752258,False
