schema_version,reviewer_id,randomized_order,case_id,action_id,q2_action_relevance,action_comment
v6_2_expert_review_v1,E01,1,CASE-040,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,2,CASE-020,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,3,CASE-053,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,3,CASE-053,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,3,CASE-053,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,3,CASE-053,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,4,CASE-008,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,4,CASE-008,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,4,CASE-008,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,5,CASE-022,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,5,CASE-022,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,7,CASE-028,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,7,CASE-028,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,9,CASE-009,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,9,CASE-009,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,9,CASE-009,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,9,CASE-009,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,10,CASE-046,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,10,CASE-046,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,10,CASE-046,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,10,CASE-046,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,11,CASE-014,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,11,CASE-014,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,13,CASE-054,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,13,CASE-054,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,16,CASE-023,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,16,CASE-023,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,16,CASE-023,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,16,CASE-023,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,19,CASE-006,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,19,CASE-006,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,20,CASE-015,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,20,CASE-015,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,20,CASE-015,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,20,CASE-015,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,21,CASE-011,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,21,CASE-011,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,22,CASE-049,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,22,CASE-049,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,23,CASE-037,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,23,CASE-037,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,25,CASE-026,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,25,CASE-026,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,25,CASE-026,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,25,CASE-026,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,26,CASE-048,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,26,CASE-048,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,26,CASE-048,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,26,CASE-048,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,27,CASE-051,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,27,CASE-051,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,28,CASE-033,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,28,CASE-033,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,28,CASE-033,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,30,CASE-055,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,30,CASE-055,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,30,CASE-055,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,30,CASE-055,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,33,CASE-060,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,34,CASE-042,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,34,CASE-042,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,34,CASE-042,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,34,CASE-042,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,36,CASE-002,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,37,CASE-005,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,37,CASE-005,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,37,CASE-005,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,39,CASE-059,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,39,CASE-059,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,39,CASE-059,VLE_ENGAGEMENT,,
v6_2_expert_review_v1,E01,39,CASE-059,PROGRESS_MONITORING,,
v6_2_expert_review_v1,E01,40,CASE-012,ADVISOR_ESCALATION,,
v6_2_expert_review_v1,E01,40,CASE-012,ASSESSMENT_COMPLETION,,
v6_2_expert_review_v1,E01,40,CASE-012,VLE_ENGAGEMENT,,
